event_id,alpha,est_std_return,est_n
236,-0.00026697826269636994,0.014489027859669682,60
237,-8.20033270430398e-05,0.014526129519906084,60
238,0.0008774266777825931,0.013693124257993431,60
239,0.00028183388684794843,0.013242481928091175,60
240,0.0002607357013828735,0.013230757146041685,60
241,0.0008603816578682253,0.0122449831331436,60
242,0.0008603816578682253,0.0122449831331436,60
243,0.0016023930567947457,0.006110336825347616,60
244,0.0016023930567947457,0.006110336825347616,60
245,0.001173990468677061,0.005730981432206843,60
246,0.0007595686551243177,0.00598826705132889,60
247,0.00024698011613121743,0.007167832903435264,60
248,0.000369308353593299,0.007752963836451551,60
249,0.000369308353593299,0.007752963836451551,60
250,0.00020187520107515892,0.0076330895660735205,60
251,0.00039186802341218665,0.007285231484460681,60
252,0.0004987729967206364,0.007366793923348014,60
253,0.00036775379449108963,0.007433601644947906,60
254,0.00036775379449108963,0.007433601644947906,60
255,-9.780680806935846e-05,0.00918159271134474,60
256,0.0005251263206208396,0.00976434160856681,60
257,0.0005251263206208396,0.00976434160856681,60
258,2.582420262420209e-05,0.00961492586484878,60
259,2.582420262420209e-05,0.00961492586484878,60
260,2.582420262420209e-05,0.00961492586484878,60
261,-0.00019040296803934115,0.009586558092311778,60
262,-7.636222770939291e-05,0.009607670077157442,60
263,-0.00020114479329754454,0.00971866111080294,60
264,-0.0001383872927445109,0.010529933839920307,60
265,-0.0001383872927445109,0.010529933839920307,60
266,0.0010897841794770655,0.0074297976639537,60
267,0.0006301640811797678,0.006086000565297657,60
268,0.0006301640811797678,0.006086000565297657,60
269,0.0016680815040106935,0.004262577407534555,60
270,0.0016680815040106935,0.004262577407534555,60
271,0.001176349088277782,0.006295897983627671,60
272,0.001176349088277782,0.006295897983627671,60
273,-0.0008929280171144615,0.014432843120814021,60
274,-0.0008929280171144615,0.014432843120814021,60
275,-0.0027191731438650324,0.02626932842535863,60
276,-0.004551486251760448,0.037157094716465784,60
277,-0.0030974518444310817,0.03949692459461971,60
278,-0.0030974518444310817,0.03949692459461971,60
279,-0.002475267674033128,0.039863695183465137,60
280,-0.0029710320119096254,0.040059857913602344,60
281,0.0005972693947482881,0.03835843401806817,60
282,0.0005972693947482881,0.03835843401806817,60
283,0.002856883435059705,0.02683661997694419,60
284,0.00230405240443901,0.014973649242354968,60
285,0.00230405240443901,0.014973649242354968,60
286,0.0020080952633468115,0.012667927425124192,60
287,0.00152060612343417,0.010896954194256757,60
288,0.00152060612343417,0.010896954194256757,60
289,0.0011400278389843465,0.01096777150201523,60
290,-0.00017980544082675341,0.012391584369342143,60
291,-0.00017980544082675341,0.012391584369342143,60
292,0.0015003038782103568,0.011586701298789031,60
293,0.0015003038782103568,0.011586701298789031,60
294,0.00167557005409929,0.009808524715233169,60
295,0.00167557005409929,0.009808524715233169,60
296,0.0017571658819255165,0.008784825144407727,60
297,0.0008949901940003666,0.009674379807999008,60
298,0.0008949901940003666,0.009674379807999008,60
299,0.0010166258323130299,0.009692357275618383,60
300,0.0012269617617119398,0.009826136018541444,60
301,0.0012269617617119398,0.009826136018541444,60
302,0.0018065123238630433,0.009377915925971727,60
303,0.0011587645227966552,0.007480193590974335,60
304,0.0011587645227966552,0.007480193590974335,60
305,0.000560193358612835,0.007206131582082553,60
306,0.000560193358612835,0.007206131582082553,60
307,0.00124831372311972,0.0062323220403605415,60
308,0.0008444584126221449,0.005851143819640027,60
309,0.0010712772070541133,0.005926802323423323,60
310,0.0010712772070541133,0.005926802323423323,60
311,0.0008691002006875383,0.005749229393928145,60
312,0.0006979779341035367,0.0071285325543338825,60
313,0.0006979779341035367,0.0071285325543338825,60
314,0.0006504789110494417,0.00713423648916435,60
315,0.000652555484339,0.00713455754211606,60
316,0.0007549608296035932,0.007015431714992749,60
317,0.0007939188490020403,0.00894020816548196,60
318,0.0007939188490020403,0.00894020816548196,60
319,9.981552995494327e-05,0.009277254934194545,60
320,9.981552995494327e-05,0.009277254934194545,60
321,-0.0018754831931547431,0.01260092809524947,60
322,-0.0018754831931547431,0.01260092809524947,60
323,-0.0016221601706903515,0.013033928867564572,60
324,-0.0009942469669288131,0.014122427683320308,60
325,-0.0009942469669288131,0.014122427683320308,60
326,-0.0014802194770685334,0.01595440747096105,60
